Email,Hotel Name,City,Tier,Contact Name,Title,Phone,Website,Notes,Status,Sent Date,Subject Line,Response Date,Response Type,Meeting Booked
contact@theharriot.com,The Harriot,San Francisco,1,Sarah Mitchell,General Manager,(415) 555-0101,theharriot.com,Upscale boutique 25 rooms,Pending,,,,
reservations@phoenixhotel.sf,Phoenix Hotel,San Francisco,1,David Chen,Revenue Manager,(415) 555-0102,phoenixhotel.com,Design hotel tech-focused,Pending,,,,
hello@aubergehotel.com,Auberge Hotel,San Francisco,1,Emma Rodriguez,Owner,(415) 555-0103,aubergehotel.com,Luxury boutique 12 rooms,Pending,,,,
info@modahotel.com,MODA Hotel,Portland,1,James Wilson,General Manager,(503) 555-0104,modahotel.com,Eco-conscious boutique,Pending,,,,
reservations@thenewhotel.la,The New Hotel,Los Angeles,1,Lisa Chen,GM,(213) 555-0105,thenewhotel.la,Modern luxury 30 rooms,Pending,,,,
contact@vellahotel.com,Vella Hotel,LA,1,Marcus Johnson,Revenue Mgr,(213) 555-0106,vellahotel.com,Boutique near downtown,Pending,,,,
hello@acehotel-ny.com,Ace Hotel,New York,1,Nina Patel,General Manager,(212) 555-0107,acehotel.com,Design hotel chain,Pending,,,,
info@the-standard.com,The Standard,Multiple,1,Robert Kim,Revenue Manager,N/A,thestandard.com,8-property boutique chain,Pending,,,,
reservations@hotelzephyr.com,Hotel Zephyr,San Francisco,1,Caroline Adams,Owner,(415) 555-0108,hotelzephyr.com,Waterfront boutique 18 rooms,Pending,,,,
contact@vintagehotel.la,Vintage Hotel,Los Angeles,1,Michael Torres,General Manager,(213) 555-0109,vintagehotel.la,Art-deco inspired,Pending,,,,
info@designhotel-sf.com,Design Hotel SF,San Francisco,1,Jessica Wong,Revenue Manager,(415) 555-0110,designhotel.com,Modern 22-room property,Pending,,,,
hello@theparkhotel.com,The Park Hotel,Austin,1,Daniel Garcia,General Manager,(512) 555-0111,theparkhotel.com,Eco-luxury 15 rooms,Pending,,,,
reservations@luxeinn.com,Luxe Inn,Seattle,1,Amanda Foster,Owner,(206) 555-0112,luxeinn.com,Upscale boutique,Pending,,,,
contact@arthotel.com,Art Hotel,Denver,1,Christopher Lee,GM,(303) 555-0113,arthotel.com,Contemporary art-inspired,Pending,,,,
info@hotelnovel.com,Hotel Novel,Austin,1,Rebecca Martinez,Revenue Manager,(512) 555-0114,hotelnovel.com,Luxury 54 rooms,Pending,,,,
email@boutique-sf.com,Boutique Hotel Group,San Francisco,2,Thomas Anderson,Operations Director,(415) 555-0115,boutiquehg.com,5-property independent chain,Pending,,,,
contact@smallluxury.com,Small Luxury Hotels - West,Multiple,2,Victoria Brown,Regional Director,(408) 555-0116,smallluxuryhotels.com,14-property collection,Pending,,,,
info@independenthotels.com,Independent Hotel Alliance,Multiple,2,Kevin White,Partnerships Lead,(415) 555-0117,independenthotels.com,Consortium of 25+ hotels,Pending,,,,
reservations@localchains.com,Local Chains West,Multiple,2,Angela Green,Network Manager,(206) 555-0118,localchains.com,8-hotel small chain,Pending,,,,
hello@urbanboutiques.com,Urban Boutiques Collective,Multiple,2,Nathan Scott,Member Services,(415) 555-0119,urbanboutiques.com,Member network 15 hotels,Pending,,,,
contact@cozyinn.com,Cozy Inn,Portland,2,Sophia Blake,General Manager,(503) 555-0120,cozyinn.com,32-room independent,Pending,,,,
info@familyhotel.la,Family Hotel Partners,Los Angeles,2,Jordan Hayes,Director,(213) 555-0121,familyhotel.la,3-property small family chain,Pending,,,,
hello@moderncity.com,Modern City Hotels,Multiple,2,Olivia Clark,Sales Director,(415) 555-0122,moderncity.com,4-hotel emerging chain,Pending,,,,
reservations@charmerinn.com,Charmer Inn,San Diego,2,Ethan Murphy,Owner/Manager,(619) 555-0123,charmerinn.com,20-room boutique,Pending,,,,
contact@resortoptions.com,Resort Options,Colorado,2,Madison Price,General Manager,(970) 555-0124,resortoptions.com,2-property mountain resort,Pending,,,,
info@citywest.com,City West Hotel,Los Angeles,2,Lucas Taylor,Revenue Manager,(213) 555-0125,citywest.com,45-room downtown,Pending,,,,
hello@coastalresort.com,Coastal Resort,San Diego,2,Ava Mitchell,Owner,(619) 555-0126,coastalresort.com,25-room beachfront,Pending,,,,
contact@ruralinn.com,Rural Inn Hospitality,Multiple,2,Benjamin Lee,Operations Manager,(510) 555-0127,ruralinn.com,3-property independent,Pending,,,,
reservations@urbanliving.com,Urban Living Hotels,San Francisco,2,Charlotte Walker,Marketing Manager,(415) 555-0128,urbanliving.com,2-property luxury,Pending,,,,
info@hotelcommunity.com,Hotel Community Network,Multiple,2,Henry Johnson,Regional Coordinator,(415) 555-0129,hotelcommunity.com,Member network 20 hotels,Pending,,,,
contact@airbnb-hosts.com,Airbnb Hosts Pro,Multiple,3,Amelia Brown,Community Lead,(415) 555-0130,airbnbhosts.com,Multiple-property hosts,Pending,,,,
hello@vacationrentals.com,Vacation Rentals Plus,Multiple,3,Mason Davis,Account Manager,(619) 555-0131,vrplus.com,Portfolio property mgmt,Pending,,,,
info@propertycollect.com,Property Collective,Multiple,3,Isabella Rodriguez,Operations Manager,(213) 555-0132,propcollect.com,10+ property management,Pending,,,,
reservations@luxurvillas.com,Luxury Villas Hospitality,Multiple,3,Jackson Martinez,Director,(408) 555-0133,luxvillas.com,Premium vacation rentals,Pending,,,,
contact@multihost.com,MultiHost Solutions,Multiple,3,Harper Taylor,Sales Lead,(415) 555-0134,multihost.com,Host network platform,Pending,,,,
